Number,Transaction
20067,[2015-01-18 16:23:18] - Current fund for Rangers is under 0 kr.
20068,<font color="Black">[2015-01-18 16:46:45] - Successfully loaded Hurricanes lines done with STHS Client - 2.2.7.7</font>
20069,<font color="#0080C0">[2015-01-18 16:46:47] - Blackhawks sent Brandon Mashinter to waiver.</font>
20070,[2015-01-18 16:46:48] - Brandon Mashinter of Blackhawks was sent to farm.
20071,<font color="Black">[2015-01-18 16:46:51] - Successfully loaded Blackhawks lines done with STHS Client - 2.2.6.6</font>
20072,<font color="Black">[2015-01-18 16:46:51] - Successfully loaded Oilers lines done with STHS Client - 2.2.7.7</font>
20073,[2015-01-18 16:48:03] - Flames roster errors : Not enough Players available in Pro Team! 16 Dressed. 18 Required.
Some errors will be automatically fixed.

20074,<font color="Black">[2015-01-18 16:48:03] - Jordan Nolan of Flames was sent to pro.</font>
20075,<font color="Black">[2015-01-18 16:48:03] - John Albert of Flames was sent to pro.</font>
20076,<font color="Black">[2015-01-18 16:48:03] - Auto Roster Partial Function has been run for Flames.</font>
20077,<font color="Black">[2015-01-18 16:48:03] - Auto Lines Partial Function has been run for Flames.</font>
20078,[2015-01-18 16:48:03] - Kings roster errors : Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20079,<font color="Black">[2015-01-18 16:48:03] - Auto Roster Partial Function has been run for Kings.</font>
20080,<font color="Black">[2015-01-18 16:48:03] - Auto Lines Partial Function has been run for Kings.</font>
20081,[2015-01-18 16:48:03] - Islanders roster errors : Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20082,<font color="Black">[2015-01-18 16:48:03] - Auto Roster Partial Function has been run for Islanders.</font>
20083,[2015-01-18 16:48:03] - Islanders lines errors : Normal line # 2 C is empty.
Normal line # 4 C is empty.
Normal line # 4 LW is empty.
Unknown Player is used twice in Normal line #4
PP line 2 C is empty.
Penalty Shot Player #5 is empty.

20084,<font color="Black">[2015-01-18 16:48:03] - Auto Lines Partial Function has been run for Islanders.</font>
20085,[2015-01-18 16:48:03] - Flyers roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20086,<font color="Black">[2015-01-18 16:48:03] - Brian Dumoulin of Flyers was sent to pro.</font>
20087,<font color="Black">[2015-01-18 16:48:03] - Auto Roster Partial Function has been run for Flyers.</font>
20088,[2015-01-18 16:48:03] - Flyers lines errors : Normal line # 1 Defense #1 is empty.
Normal line # 4 Defense #4 is empty.
PK line 1 Defense #1 is empty.
PK3 line 1 Defense #1 is empty.
4 vs 4 line 2 Defense #2 is empty.
LastMinDef line Defense #3 is empty.
Extra Defense #3 is empty.

20089,<font color="Black">[2015-01-18 16:48:03] - Auto Lines Partial Function has been run for Flyers.</font>
20090,[2015-01-18 16:48:31] - Iiro Pakarinen from Wolves has scored a Hat Trick!
