Number,Transaction
20045,[2019-12-19 9:49:29 PM] - Justin Schultz from Panthers is back from Sprained Left Ankle Injury.
20046,[2019-12-19 9:49:34 PM] - Ducks are expected to be over the salary cap by $263-470!
20047,[2019-12-19 9:49:36 PM] - Kings are expected to be over the salary cap by $191-760!
20048,[2019-12-19 9:49:37 PM] - Coyotes are expected to be over the salary cap by $69-394!
20049,[2019-12-19 9:49:38 PM] - Current fund for Lightning is under $0.
20050,[2019-12-19 9:50:07 PM] - Ducks are expected to be over the salary cap by $263-470!
20051,[2019-12-19 9:50:08 PM] - Kings are expected to be over the salary cap by $191-760!
20052,[2019-12-19 9:50:08 PM] - Coyotes are expected to be over the salary cap by $69-394!
20053,[2019-12-19 9:50:09 PM] - Current fund for Lightning is under $0.
20054,[2019-12-20 4:40:26 PM] - Ducks placed Andrew Cogliano on waivers.
20055,[2019-12-20 4:40:27 PM] - Andrew Cogliano of Ducks was sent down to farm.
20056,[2019-12-20 4:40:27 PM] - Successfully loaded Ducks lines done with STHS Client - 3.1.6.6
20057,[2019-12-20 4:40:28 PM] - Successfully loaded Sabres lines done with STHS Client - 3.1.6.6
20058,[2019-12-20 4:40:28 PM] - Michael McCarron of Panthers was sent to pro.
20059,[2019-12-20 4:40:28 PM] - Successfully loaded Panthers lines done with STHS Client - 3.1.5.5
20060,[2019-12-20 4:40:28 PM] - Travis Sanheim of Golden Knights was sent down to farm.
20061,[2019-12-20 4:40:28 PM] - Successfully loaded Golden Knights lines done with STHS Client - 3.1.6.6
20062,[2019-12-20 4:40:29 PM] - Red Wings roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Some errors will be automatically fixed.

20063,[2019-12-20 4:40:29 PM] - Auto Roster Partial Function has been run for Red Wings.
20064,[2019-12-20 4:40:29 PM] - Red Wings lines errors : Normal line # 1 Defense #1 is empty.
Normal line # 4 Defense #4 is empty.
PP line 1 Defense #1 is empty.
PK line 1 Defense #1 is empty.
4 vs 4 line 1 Defense #1 is empty.
PK3 line 1 Defense #1 is empty.
LastMinOff line Defense #3 is empty.
LastMinDef line Defense #3 is empty.
Extra Defense #2 is empty.
Extra Defense #5 is empty.

20065,[2019-12-20 4:40:29 PM] - Auto Lines Partial Function has been run for Red Wings.
20066,[2019-12-20 4:40:29 PM] - Oilers lines errors : Normal line # 4 C is empty.
PK line 1 C is empty.
PK3 line 1 forward is empty.

20067,[2019-12-20 4:40:29 PM] - Auto Lines Partial Function has been run for Oilers.
20068,[2019-12-20 4:40:34 PM] - Game 363 - Jake McCabe from Red Wings is injured  (Bruised Right Shoulder) and is out for 2 months.
20069,[2019-12-20 4:40:34 PM] - Game 364 - Josh Manson from Sabres is injured  (Upper Body) and is out for 3 days.
20070,[2019-12-20 4:40:35 PM] - Checkers lines for next game are empty. Current rosters/lines are not erased. But- Hurricanes lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20071,[2019-12-20 4:40:35 PM] - Both Oilers and Condors lines for next game are empty. Current rosters/lines are not erased.
20072,[2019-12-20 4:40:35 PM] - Roadrunners lines for next game are empty. Current rosters/lines are not erased. But- Coyotes lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20073,[2019-12-20 4:40:35 PM] - Phil Varone was cleared from waivers and was sent to down farm.
20074,[2019-12-20 4:40:35 PM] - Ryan Suter from Red Wings is back from Herniated Disc Injury.
20075,[2019-12-20 4:40:35 PM] - Anthony Beauvillier from Blues is back from Torso Injury.
20076,[2019-12-20 4:40:35 PM] - Brandon Manning from Avalanche is back from Sore Left Knee Injury.
20077,[2019-12-20 4:40:35 PM] - Josh Manson from Sabres is back from Upper Body Injury.
20078,[2019-12-20 4:40:37 PM] - Kings are expected to be over the salary cap by $191-760!
20079,[2019-12-20 4:40:38 PM] - Coyotes are expected to be over the salary cap by $69-394!
20080,[2019-12-20 4:40:39 PM] - Current fund for Lightning is under $0.
20081,[2019-12-20 4:41:05 PM] - Kings are expected to be over the salary cap by $191-760!
20082,[2019-12-20 4:41:05 PM] - Coyotes are expected to be over the salary cap by $69-394!
20083,[2019-12-20 4:41:07 PM] - Current fund for Lightning is under $0.
20084,[2019-12-21 6:51:28 PM] - Steven Santini of Flames was sent to pro.
20085,[2019-12-21 6:51:28 PM] - Successfully loaded Flames lines done with STHS Client - 3.1.7.7
20086,[2019-12-21 6:51:29 PM] - Hurricanes placed Brett Sutter on waivers.
20087,[2019-12-21 6:51:54 PM] - Brett Sutter of Hurricanes was sent down to farm.
20088,[2019-12-21 6:51:54 PM] - Successfully loaded Hurricanes lines done with STHS Client - 3.1.6.6
20089,[2019-12-21 6:51:54 PM] - Successfully loaded Lightning lines done with STHS Client - 3.1.5.5
20090,[2019-12-21 6:51:55 PM] - Islanders lines errors : Normal line # 1 LW is empty.
Normal line # 2 RW is empty.
Unknown Player is used twice in normal lines 1 and 2.
Unknown Player is used twice in normal lines 1 and 2.
PP line 1 LW is empty.
PP line 2 RW is empty.
PK line 2 LW is empty.
4 vs 4 line 2 LW is empty.
LastMinOff line LW is empty.
LastMinDef line LW is empty.
Extra Forward #1 is empty.
Penalty Shot Player #1 is empty.
Extra Forward #4 is empty.
Penalty Shot Player #4 is empty.
Unknown Player is used twice in Extra Penalty Shot

20091,[2019-12-21 6:51:55 PM] - Auto Lines Partial Function has been run for Islanders.
20092,[2019-12-21 6:51:55 PM] - Rangers lines errors : Normal line # 1 Defense #1 is empty.
Normal line # 3 C is empty.
Normal line # 4 Defense #4 is empty.
Unknown Player is used twice in normal lines 1 and 3.
PP line 1 Defense #1 is empty.
PK line 1 Defense #1 is empty.
4 vs 4 line 1 Defense #1 is empty.
PK3 line 1 Defense #1 is empty.
LastMinOff line Defense #3 is empty.
LastMinDef line Defense #3 is empty.
Extra Forward #1 is empty.
Extra Forward #4 is empty.
Penalty Shot Player #5 is empty.

20093,[2019-12-21 6:51:55 PM] - Auto Lines Partial Function has been run for Rangers.
20094,[2019-12-21 6:51:55 PM] - Blues lines errors : Normal line # 2 C is empty.
PP line 2 C is empty.
PK line 2 LW is empty.
4 vs 4 line 2 LW is empty.
Penalty Shot Player #4 is empty.

20095,[2019-12-21 6:51:55 PM] - Auto Lines Partial Function has been run for Blues.
20096,[2019-12-21 6:52:06 PM] - Hurricanes show interest in Andrew Cogliano from waiver.
20097,[2019-12-21 6:52:26 PM] - Blue Jackets placed Anthony Greco on waivers.
20098,[2019-12-21 6:52:27 PM] - Anthony Greco of Blue Jackets was sent down to farm.
20099,[2019-12-21 6:54:57 PM] - Warren Foegele from Gulls has scored a Hat Trick!
20100,[2019-12-21 6:54:57 PM] - Evgeny Kuznetsov from Sharks has scored a Hat Trick!
20101,[2019-12-21 6:54:58 PM] - Joseph LaBate from Barracudas has scored a Hat Trick!
20102,[2019-12-21 6:54:58 PM] - Game 370 - John Carlson from Wild is injured  (Broken Bone (Left Ankle)) and is out for 2 months.
20103,[2019-12-21 6:54:58 PM] - Game 371 - Jonathan Ericsson from Flyers is injured  (Upper Body) and is out for 1 week.
20104,[2019-12-21 6:54:58 PM] - Game 372 - Dylan Larkin from Flames is injured  (Torn Right MCL) and is out for 3 weeks.
20105,[2019-12-21 6:54:59 PM] - Gulls lines for next game are empty. Current rosters/lines are not erased. But- Ducks lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20106,[2019-12-21 6:54:59 PM] - Heat lines for next game are empty. Current rosters/lines are not erased. But- Flames lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20107,[2019-12-21 6:54:59 PM] - Monsters lines for next game are empty. Current rosters/lines are not erased. But- Blue Jackets lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20108,[2019-12-21 6:54:59 PM] - Both Stars and Stars lines for next game are empty. Current rosters/lines are not erased.
20109,[2019-12-21 6:54:59 PM] - Reign lines for next game are empty. Current rosters/lines are not erased. But- Kings lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20110,[2019-12-21 6:54:59 PM] - Wild lines for next game are empty. Current rosters/lines are not erased. But- Wild lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20111,[2019-12-21 6:54:59 PM] - Both Islanders and Sound Tigers lines for next game are empty. Current rosters/lines are not erased.
20112,[2019-12-21 6:54:59 PM] - Wolf Pack lines for next game are empty. Current rosters/lines are not erased. But- Rangers lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20113,[2019-12-21 6:54:59 PM] - Both Senators and Senators lines for next game are empty. Current rosters/lines are not erased.
20114,[2019-12-21 6:54:59 PM] - Phantoms lines for next game are empty. Current rosters/lines are not erased. But- Flyers lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20115,[2019-12-21 6:54:59 PM] - Both Penguins and Penguins lines for next game are empty. Current rosters/lines are not erased.
20116,[2019-12-21 6:54:59 PM] - Both Blues and Rampage  lines for next game are empty. Current rosters/lines are not erased.
20117,[2019-12-21 6:54:59 PM] - Both Sharks and Barracudas lines for next game are empty. Current rosters/lines are not erased.
20118,[2019-12-21 6:54:59 PM] - Comets lines for next game are empty. Current rosters/lines are not erased. But- Canucks lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20119,[2019-12-21 6:54:59 PM] - Hurricanes claimed Andrew Cogliano from waivers by Ducks for $1-000-000.
20120,[2019-12-21 6:54:59 PM] - Andrew Cogliano was added to Hurricanes.
20121,[2019-12-21 6:55:02 PM] - Kings are expected to be over the salary cap by $191-760!
20122,[2019-12-21 6:55:03 PM] - There's not enough Defense players to make a roster for Wild.

20123,[2019-12-21 6:55:03 PM] - Wild are expected to be under the minimum salary cap by $4-305-400!
20124,[2019-12-21 6:55:04 PM] - Coyotes are expected to be over the salary cap by $69-394!
20125,[2019-12-21 6:55:06 PM] - Current fund for Lightning is under $0.
20126,[2019-12-21 6:55:27 PM] - There's not enough Defense players to make a roster for Wild.

20127,[2019-12-21 6:55:28 PM] - Wild are expected to be under the minimum salary cap by $4-305-400!
20128,[2019-12-21 6:55:29 PM] - Wild roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20129,[2019-12-21 7:03:12 PM] - Nathan Paetsch was added to Wild.
20130,[2019-12-21 7:03:23 PM] - Kings are expected to be over the salary cap by $191-760!
20131,[2019-12-21 7:03:23 PM] - Wild are expected to be under the minimum salary cap by $3-741-969!
20132,[2019-12-21 7:03:24 PM] - Coyotes are expected to be over the salary cap by $69-394!
20133,[2019-12-21 7:03:24 PM] - Current fund for Lightning is under $0.
20134,[2019-12-21 7:04:14 PM] - Kings are expected to be over the salary cap by $191-760!
20135,[2019-12-21 7:04:15 PM] - Wild are expected to be under the minimum salary cap by $3-741-969!
20136,[2019-12-21 7:04:15 PM] - Coyotes are expected to be over the salary cap by $69-394!
20137,[2019-12-21 7:04:15 PM] - Current fund for Lightning is under $0.
20138,[2019-12-22 7:45:46 PM] - Penguins show interest in Anthony Greco from waiver.
20139,[2019-12-22 7:45:52 PM] - Blues cannot claim Anthony Greco from waivers because Penguins has already claimed him and has priority.
20140,[2019-12-22 7:46:20 PM] - Frederik Gauthier of Kings was sent down to farm.
20141,[2019-12-22 7:46:20 PM] - Successfully loaded Kings lines done with STHS Client - 3.1.6.6
20142,[2019-12-22 7:46:21 PM] - Brendan Perlini of Blues was sent down to farm.
20143,[2019-12-22 7:46:21 PM] - Successfully loaded Blues lines done with STHS Client - 3.1.7.7
20144,[2019-12-22 7:46:23 PM] - Wild roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20145,[2019-12-22 7:46:23 PM] - Auto Roster Partial Function has been run for Wild.
20146,[2019-12-22 7:46:23 PM] - Wild lines errors : Normal line # 1 Defense #1 is empty.
Normal line # 4 Defense #4 is empty.
PP line 1 Defense #1 is empty.
PK line 1 Defense #1 is empty.
4 vs 4 line 1 Defense #1 is empty.
PK3 line 1 Defense #1 is empty.
LastMinOff line Defense #3 is empty.
Extra Defense #3 is empty.
Penalty Shot Player #3 is empty.
Extra Defense #5 is empty.

20147,[2019-12-22 7:46:23 PM] - Auto Lines Partial Function has been run for Wild.
20148,[2019-12-22 7:46:28 PM] - Logan Brown from IceHogs completes suspension
20149,[2019-12-22 7:46:28 PM] - Peter Cehlarik from IceHogs has scored a Hat Trick!
20150,[2019-12-22 7:46:28 PM] - New Record for Team's Most Hits (43) in 1 Game for Bruins!
20151,[2019-12-22 7:46:28 PM] - Game 376 - Ryan Getzlaf from Devils is injured  (Separated Right Shoulder) and is out for 1 week.
20152,[2019-12-22 7:46:29 PM] - New Record for Team's Most Hits (36) in 1 Game for Devils!
20153,[2019-12-22 7:46:29 PM] - Jakob Silfverberg from Wild is injured from Exhaustion.
20154,[2019-12-22 7:46:29 PM] - Last 7 Days Pro Star : 1 - Philipp Grubauer of Islanders (0.969) / 2 - Jordan Binnington of Wild (0.952) / 3 - Mark Scheifele of Canadiens (4-2-6)
20155,[2019-12-22 7:46:29 PM] - Last 7 Days Farm Star : 1 - Anthony Duclair of Heat (6-3-9) / 2 - Zack MacEwen of Barracudas (5-5-10) / 3 - Andre Burakovsky of Heat (3-6-9)
20156,[2019-12-22 7:46:29 PM] - Bruins lines for next game are empty. Current rosters/lines are not erased. But- Bruins lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20157,[2019-12-22 7:46:29 PM] - IceHogs lines for next game are empty. Current rosters/lines are not erased. But- Blackhawks lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20158,[2019-12-22 7:46:29 PM] - Both Stars and Stars lines for next game are empty. Current rosters/lines are not erased.
20159,[2019-12-22 7:46:29 PM] - Wild lines for next game are empty. Current rosters/lines are not erased. But- Wild lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20160,[2019-12-22 7:46:29 PM] - Rocket lines for next game are empty. Current rosters/lines are not erased. But- Canadiens lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20161,[2019-12-22 7:46:29 PM] - Devils lines for next game are empty. Current rosters/lines are not erased. But- Devils lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.
20162,[2019-12-22 7:46:29 PM] - Brett Sutter was cleared from waivers and was sent to down farm.
20163,[2019-12-22 7:46:29 PM] - Penguins claimed Anthony Greco from waivers by Blue Jackets for $1-000-000.
20164,[2019-12-22 7:46:29 PM] - Anthony Greco was added to Penguins.
20165,[2019-12-22 7:46:29 PM] - Jakub Voracek from Islanders is back from Torso Injury.
20166,[2019-12-22 7:46:29 PM] - John Moore from Oilers is back from Back Injury.
20167,[2019-12-22 7:46:39 PM] - Wild are expected to be under the minimum salary cap by $7-439-575!
20168,[2019-12-22 7:46:40 PM] - Coyotes are expected to be over the salary cap by $69-394!
20169,[2019-12-22 7:46:41 PM] - Current fund for Lightning is under $0.
20170,[2019-12-22 7:47:28 PM] - TRADE : From Bruins to Jets : Leo Komarov (66).
20171,[2019-12-22 7:47:28 PM] - TRADE : From Jets to Bruins : Mikkel Boedker (68).
20172,[2019-12-22 7:48:22 PM] - Wild are expected to be under the minimum salary cap by $7-439-575!
20173,[2019-12-22 7:48:23 PM] - Coyotes are expected to be over the salary cap by $69-394!
20174,[2019-12-22 7:48:24 PM] - Current fund for Lightning is under $0.
20175,[2019-12-23 5:05:17 PM] - Successfully loaded Jets lines done with STHS Client - 3.2.0.0
20176,[2019-12-23 5:05:17 PM] - Karson Kuhlman of Bruins was sent down to farm.
20177,[2019-12-23 5:05:17 PM] - Successfully loaded Bruins lines done with STHS Client - 3.1.6.6
20178,[2019-12-23 5:05:17 PM] - Jack Roslovic of Flames was sent to pro.
20179,[2019-12-23 5:05:17 PM] - Successfully loaded Flames lines done with STHS Client - 3.1.7.7
20180,[2019-12-23 5:05:17 PM] - Ryan Graves of Oilers was sent down to farm.
20181,[2019-12-23 5:05:17 PM] - Successfully loaded Oilers lines done with STHS Client - 3.2.0.0
20182,[2019-12-23 5:05:18 PM] - Successfully loaded Panthers lines done with STHS Client - 3.1.5.5
20183,[2019-12-23 5:05:18 PM] - Alexandre Fortin of Penguins was sent down to farm.
20184,[2019-12-23 5:05:18 PM] - Successfully loaded Penguins lines done with STHS Client - 3.1.9.9
20185,[2019-12-23 5:05:18 PM] - Successfully loaded Lightning lines done with STHS Client - 3.1.5.5
20186,[2019-12-23 5:05:19 PM] - Avalanche roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Some errors will be automatically fixed.

20187,[2019-12-23 5:05:19 PM] - Auto Roster Partial Function has been run for Avalanche.
20188,[2019-12-23 5:05:19 PM] - Avalanche lines errors : Normal line # 3 Defense #3 is empty.
PP line 1 Defense #1 is empty.
4 vs 4 line 1 Defense #1 is empty.
PK line 2 Defense #2 is empty.
PK3 line 2 Defense #2 is empty.
Extra Defense #1 is empty.
Extra Defense #4 is empty.

20189,[2019-12-23 5:05:19 PM] - Auto Lines Partial Function has been run for Avalanche.
20190,[2019-12-23 5:05:19 PM] - Red Wings roster errors : Not enough Defenseman available in Pro Team! 4 Dressed. 6 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20191,[2019-12-23 5:05:19 PM] - Auto Roster Partial Function has been run for Red Wings.
20192,[2019-12-23 5:05:19 PM] - Red Wings lines errors : Normal line # 1 Defense #1 is empty.
Normal line # 2 Defense #2 is empty.
Normal line # 4 Defense #4 is empty.
Unknown Player is used twice in normal lines 1 and 2.
Unknown Player is used twice in normal lines 1 and 2.
PP line 1 Defense #1 is empty.
PK line 1 Defense #1 is empty.
4 vs 4 line 1 Defense #1 is empty.
PK3 line 1 Defense #1 is empty.
4 vs 4 line 2 Defense #2 is empty.
PK line 2 Defense #2 is empty.
PK3 line 2 Defense #2 is empty.
LastMinOff line Defense #3 is empty.
LastMinDef line Defense #3 is empty.
Extra Defense #0 is empty.
Extra Defense #1 is empty.
Extra Defense #2 is empty.
Extra Defense #5 is empty.
Unknown Player is used twice in Extra Defense Normal
Unknown Player is used twice in Extra Defense PK

