Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
14,Monarchs,MAN,Manchester,Pacific Division,Western Conference,0,0,0,0,482000,0,55,0,35,True,28,0,,L2,0,3,0,0,1,0,0,4,0,4,0,0,0,0,0,0,2,10,2,0,2,0,0,0,0,0,2,6,10,1,21,7,0,67,106,40,12,30,25,0,0,1,1,0,6353,4188,4381,2964,2519,1425,0,2,4,6,42,52,17,76,13,54,13,50,0,
15,Aeros,HOU,Houston,Northwest Division,Western Conference,0,0,0,0,813750,0,48,0,0,True,17,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,Bulldogs,HAM,Hamilton,Northeast Division,Eastern Conference,0,0,0,0,782250,0,114,0,0,True,18,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,Admirals,MIL,Milwaukee,Central Division,Western Conference,0,0,0,0,0,0,96,0,0,True,19,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,Devils,ALB,Albany,Orr Division,Eastern Conference,0,0,0,0,638500,0,76,0,4,True,20,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,Sound Tigers,BPT,Bridgeport,Orr Division,Eastern Conference,0,0,0,0,1890500,0,61,0,73,True,9,0,,L4,3,6,0,1,0,0,0,15,8,7,0,0,0,0,0,16,40,39,8,4,4,0,0,0,0,0,20,20,90,24,71,30,0,392,401,129,101,152,137,2,5,14,19,2,18458,20036,16025,7975,10916,8630,1,40,63,103,512,362,198,351,188,340,117,222,0,
20,Whale,CON,Connecticut,Orr Division,Eastern Conference,0,0,0,0,437500,0,115,0,18,True,30,0,,L4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,8,17,2,0,2,0,0,0,0,0,5,12,15,4,14,11,1,85,95,35,23,27,35,0,1,2,5,0,5726,4582,4092,2676,2934,1479,0,8,14,22,100,59,18,56,15,65,15,65,0,
21,Senators,BNG,Binghamton,Northeast Division,Eastern Conference,0,0,0,0,315500,0,17,0,2,True,21,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,Phantoms,ADP,Adirondack,Orr Division,Eastern Conference,0,0,0,0,550825,0,60,0,0,True,22,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,Pirates,POR,Portland,Pacific Division,Western Conference,0,0,0,0,670167,0,39,0,0,True,23,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,Penguins,WBS,Wilkes-Barre Scranton,Orr Division,Eastern Conference,0,0,0,0,625000,0,75,0,40,True,10,0,,OTL1,1,2,0,1,2,0,0,6,2,4,0,0,0,0,0,4,11,13,3,0,3,0,0,0,0,0,3,6,25,5,28,10,1,138,148,46,46,44,38,10,1,5,4,1,8066,7532,7909,4114,3624,3967,0,11,19,30,118,175,56,131,59,131,33,69,0,
25,Rivermen,PEO,Peoria,Central Division,Western Conference,0,0,0,0,490000,0,5,0,72,True,2,0,,OTL1,5,2,0,1,2,0,0,17,11,6,0,0,0,0,0,22,58,41,8,5,3,0,0,0,0,0,30,18,72,40,85,29,1,557,489,135,138,194,200,25,6,24,27,1,24106,21829,17274,9981,13672,7435,0,58,100,158,223,274,122,417,115,409,78,276,0,
26,Sharks,WOR,Worcester,Pacific Division,Western Conference,0,0,0,0,1277750,0,59,0,86,True,7,0,,OTL1,3,4,0,2,1,0,0,23,14,9,0,0,0,0,0,28,54,45,12,7,5,0,0,0,0,0,29,24,89,32,76,23,0,595,583,193,129,226,216,24,8,20,23,3,27716,31975,26379,11750,16883,14815,4,54,94,148,200,744,265,438,289,463,201,310,0,
27,Admirals,NOR,Norfolk,Southeast Division,Eastern Conference,0,0,0,0,2173750,0,16,0,66,True,3,0,,OTL2,6,2,0,0,2,0,0,11,7,4,0,0,0,0,0,14,31,24,6,4,2,0,0,0,0,0,12,10,55,23,37,16,1,285,291,98,75,92,116,2,5,15,11,0,12904,15713,11426,5009,8569,6964,2,31,48,79,252,263,143,223,127,217,109,169,0,
28,Marlies,TOR,Toronto,Northeast Division,Eastern Conference,0,0,0,0,182500,0,124,0,0,True,24,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,Wolves,CHI,Chicago,Northwest Division,Western Conference,0,0,0,0,576750,0,103,0,0,True,25,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,Bears,HER,Hershey,Southeast Division,Eastern Conference,0,0,0,0,452500,0,8,0,99,False,1,0,,OTW1,7,2,0,1,0,0,0,22,16,6,0,0,0,0,0,32,60,43,11,8,3,0,0,0,0,0,27,22,94,42,106,23,0,618,545,174,154,218,228,18,8,21,27,4,29362,27860,23313,13642,16871,9833,1,60,99,159,402,333,214,468,238,493,157,319,1,
