Team Number,Prospect Name,Year,Overall Pick
3,Jonathan Filewich,0, 0 
14,Brian Day,0, 0 
6,Jakub Kovar,0, 0 
26,Robbie Russo,2011, 70 
1,Jack Campbell,2010, 9 
3,Klas Dahlbeck,2011, 71 
14,Jordan Bendfeld,0, 0 
7,Jordan Schroeder,2009, 10 
15,Jordan Binnington,2011, 72 
19,Michael Paliotta,2011, 73 
15,Simon Despres,2009, 11 
11,Daniel Rahimi,0, 0 
17,T.J. Brennan,0, 0 
2,Vladimir Tarasenko,2010, 12 
3,Joachim Nermark,2011, 74 
26,Marek Tvrdon,2011, 75 
5,Vincent Trochek,2011, 76 
5,Nick Cousins,2011, 77 
18,Mattias Hellström,0, 0 
18,Andreas Molinder,0, 0 
18,Harri Ilvonen,0, 0 
30,Evgeny Kuznetsov,2010, 14 
8,Keegan Lowe,2011, 78 
26,Derek Forbort,2010, 15 
5,Thomas Tynan,2011, 79 
19,David Honzik,2011, 80 
3,Mike Reilly,2011, 81 
8,Garrett Klotz,0, 0 
10,Louis Leblanc,2009, 12 
26,Josh Leivo,2011, 82 
4,Brandon Gormley,2010, 16 
11,Taylor Matson,0, 0 
5,Brennan Serville,2011, 83 
20,Lauri Tukonen,0, 0 
21,Steven Fogarty,2011, 84 
26,Joseph Labate,2011, 85 
26,Shane McColgan,2011, 86 
12,Mikael Granlund,2010, 17 
1,Austin Watson,2010, 18 
24,Gregory Hofmann,2011, 87 
15,Blake Coleman,2011, 88 
11,Yakov Rylov,0, 0 
10,Travis Ewanyk,2011, 89 
20,Matt Duffy,0, 0 
17,Scott Glennie,2009, 13 
14,Taylor Dakers,0, 0 
6,Daniel Taylor,0, 0 
27,Alexandre Grenier,2011, 90 
2,Jared Cowen,2009, 14 
1,Drayson Bowman,0, 0 
22,Andy Andreoff,2011, 91 
2,Ryan Ellis,2009, 15 
8,Cory Emmerton,0, 0 
7,Zack Kassian,2009, 16 
3,Landon Ferraro,2009, 17 
18,Tom Nilsson,2011, 92 
1,Michael Neal,0, 0 
7,David Rundblad,2009, 19 
12,Reid Boucher,2011, 93 
13,Logan Shaw,2011, 94 
17,Shea Guthrie,0, 0 
1,Riley Nash,0, 0 
1,Tomas Marcinko,0, 0 
24,Aaron Marvin,0, 0 
9,Dillon Simpson,2011, 95 
16,Andy Welinski,2011, 96 
23,Harrison Ruopp,2011, 97 
1,Tim Erixon,2009, 20 
16,Carter Ashton,2009, 21 
5,Anthony Camara,2011, 98 
1,Bud Holloway,0, 0 
7,Calvin De Haan,2009, 23 
9,Colin Jacobs,2011, 99 
10,Olivier Archambault,2011, 100 
26,John Moore,2009, 24 
1,Carl Klingberg,2009, 25 
12,Alan Quine,2011, 101 
15,Jean Gabriel Pageau,2011, 102 
6,Nick Oslund,0, 0 
10,Jonathan Racine,2011, 103 
9,Max Friberg,2011, 104 
13,Jarred Tinordi,2010, 19 
5,Kyle Rau,2011, 105 
19,Trevor Cann,0, 0 
21,Linden Rowat,0, 0 
4,Peter Holland,2009, 26 
1,Leland Irving,0, 0 
24,Bobby Sanguinetti,0, 0 
1,T. J. Fast,0, 0 
1,Nick Bjugstad,2010, 20 
1,Kevin Quick,0, 0 
15,Mattias Backman,2011, 106 
16,Josiah Didier,2011, 107 
21,Chris Kreider,2009, 27 
7,Nick Leddy,2009, 29 
28,Josh Shalla,2011, 108 
16,Taylor Doherty,2009, 30 
22,Zach Budish,2009, 31 
1,Matt Pelech,0, 0 
3,Dustin Kohn,0, 0 
1,Gord Baldwin,0, 0 
9,John de Gray,0, 0 
24,Yannick Veilleux,2011, 109 
18,Nick Ross,0, 0 
1,John Negrin,0, 0 
28,Charles Olivier Roussel,2009, 32 
8,Blake Kessel,0, 0 
5,John Gaudreau,2011, 110 
21,Richard Panik,2009, 33 
18,Robin Lehner,2009, 34 
1,Justin Krueger,0, 0 
