Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
14,Reign,ONT,Ontario,Pacific Division,Western Conference,0,0,0,0,1126550,0,125,30,50,False,31,0,,L6,0,9,0,0,1,0,0,30,4,22,0,1,3,0,0,13,76,204,15,3,9,0,1,2,0,0,41,96,63,7,41,9,0,889,1486,422,295,336,251,7,29,31,15,1,61058,27976,19463,12493,19559,7708,0,76,149,225,124,479,295,879,249,620,210,553,0,
15,Wild,IOA,Iowa,Central Division,Western Conference,0,0,0,0,1464900,0,137,30,50,False,24,0,,L2,3,7,0,0,0,0,0,30,5,24,0,0,0,0,1,11,74,212,15,5,9,0,0,0,0,1,49,93,63,6,36,7,1,778,1627,452,251,230,289,13,27,20,27,0,64552,24546,19202,12669,16528,7312,0,74,146,220,72,432,302,954,224,597,172,543,0,
16,Rocket,LAV,Laval,North,Eastern Conference,0,0,0,0,1462667,0,129,30,50,False,1,0,,W12,10,0,0,0,0,0,0,30,22,6,0,0,0,1,1,47,171,56,15,12,2,0,0,0,1,0,92,20,108,23,107,16,2,989,486,128,299,351,336,11,55,68,47,3,28352,60908,19340,9322,48154,11377,6,171,304,475,251,551,376,612,492,778,309,470,0,
17,Admirals,MIL,Milwaukee,Central Division,Western Conference,0,0,0,0,329417,0,50,30,50,False,18,0,,L1,5,5,0,0,0,0,0,30,8,22,0,0,0,0,0,16,74,194,15,4,11,0,0,0,0,0,35,93,66,4,42,10,1,843,1440,403,264,269,310,0,29,22,23,0,61478,26945,19577,12568,18618,7671,0,74,146,220,98,483,297,850,230,646,172,508,0,
18,Devils,BNG,Binghamton,North,Eastern Conference,0,0,0,0,2022616,0,255,30,50,False,26,0,,SOL1,1,8,0,0,0,0,1,30,2,26,0,0,0,0,2,6,75,205,15,2,12,0,0,0,0,1,39,92,51,6,55,18,0,779,1498,444,231,280,263,13,33,29,13,0,65130,24255,19215,12569,16159,7402,0,75,148,223,150,522,346,921,249,597,194,548,0,
19,Sound Tigers,BPT,Bridgeport,Atlantic,Eastern Conference,0,0,0,0,140000,0,164,30,50,False,30,0,,L12,0,10,0,0,0,0,0,30,4,25,0,0,0,1,0,10,77,197,15,3,11,0,0,0,1,0,44,100,67,12,39,8,0,892,1452,440,297,285,305,7,33,26,17,1,62224,27635,18441,11721,19456,7269,0,77,147,224,92,497,288,849,258,630,196,520,0,
20,Wolf Pack,HFD,Hartford,Atlantic,Eastern Conference,0,0,0,0,284667,0,238,30,50,False,25,0,,SOW1,1,7,0,0,0,2,0,30,3,22,0,0,1,3,1,14,89,209,15,3,11,0,0,0,1,0,50,100,73,6,43,10,0,859,1541,427,273,258,291,51,41,27,18,3,63820,26599,18952,12489,18337,7470,0,89,171,260,118,490,309,873,246,628,197,548,0,
21,Senators,BEL,Belleville,North,Eastern Conference,0,0,0,0,1067500,0,155,30,50,False,20,0,,L2,2,8,0,0,0,0,0,30,7,21,0,0,0,0,2,16,115,188,15,4,10,0,0,0,0,1,59,93,75,9,64,19,0,961,1178,321,324,346,290,7,55,32,28,0,51184,37916,19500,11535,28374,8544,0,115,170,285,147,498,342,762,358,727,276,552,0,
22,Phantoms,LVP,Lehigh Valley,Atlantic,Eastern Conference,0,0,1926,0,669500,0,260,30,50,False,16,0,,L2,5,5,0,0,0,0,0,30,15,15,0,0,0,0,0,30,150,156,15,8,7,0,0,0,0,0,83,72,91,28,72,17,0,980,923,264,310,335,335,0,56,54,40,0,43968,44713,19319,10890,34158,9548,0,150,235,385,162,633,260,661,244,671,203,583,0,
23,Roadrunners,TUC,Tucson,Pacific Division,Western Conference,0,0,0,0,1105834,0,181,30,50,False,22,0,,L2,2,8,0,0,0,0,0,30,11,17,0,1,0,1,0,26,142,154,15,6,9,0,0,0,0,0,73,75,101,18,65,19,0,1123,1016,270,381,366,374,7,69,34,37,2,45079,44072,19224,10816,33745,9326,0,142,237,379,148,526,322,664,475,817,319,557,0,
24,Penguins,WBS,Wilkes-Barre/Scranton,Atlantic,Eastern Conference,0,0,0,0,1179433,0,149,30,50,False,12,0,,W2,7,3,0,0,0,0,0,30,20,9,0,0,0,1,0,42,154,69,15,11,3,0,0,0,1,0,74,35,99,20,87,10,4,999,644,162,360,342,297,6,64,45,44,2,36064,53318,18918,10308,41715,10172,4,154,270,424,185,524,438,703,497,793,331,494,0,
25,Rampage ,SAR,Rampage,Central Division,Western Conference,0,0,0,0,2722250,0,58,30,50,False,28,0,,L4,1,9,0,0,0,0,0,30,2,27,0,1,0,0,0,6,67,206,15,2,13,0,0,0,0,0,39,101,60,3,42,7,0,806,1509,418,290,259,254,3,25,21,20,1,62372,26325,19443,12478,17734,7624,0,67,129,196,110,536,284,870,240,600,159,516,1,
26,Barracudas,SJB,San Jose,Pacific Division,Western Conference,0,0,0,0,1597701,0,16,30,50,False,6,0,,W1,7,1,0,0,1,1,0,30,22,3,0,0,4,1,0,50,166,56,15,12,1,0,0,2,0,0,94,25,101,12,140,19,3,1265,569,202,397,425,438,8,71,59,35,2,30454,59442,19211,9859,46949,10915,6,166,294,460,317,579,404,659,674,962,338,475,0,
27,Crunch,SYR,Syracuse,North,Eastern Conference,0,0,0,0,932333,0,54,30,50,False,11,0,,W3,7,3,0,0,0,0,0,30,20,9,0,0,0,0,1,41,160,92,15,10,5,0,0,0,0,0,84,46,96,19,106,14,5,994,750,218,351,305,336,5,70,38,52,0,38364,50373,19563,10596,38072,10386,3,160,265,425,269,695,292,761,326,843,199,486,0,
28,Marlies,TOR,Toronto,North,Eastern Conference,0,0,0,0,2414784,0,51,30,50,False,19,0,,L1,3,7,0,0,0,0,0,30,9,18,0,2,0,0,1,23,127,188,15,4,9,0,2,0,0,0,64,92,80,8,68,24,0,1025,1183,364,359,334,316,19,58,35,32,3,51207,38754,18626,11119,29302,8421,0,127,179,306,162,523,363,759,365,673,306,542,0,
29,Comets,UTI,Utica,North,Eastern Conference,0,0,0,0,2404556,0,201,30,50,False,8,0,,SOL1,9,0,0,0,0,0,1,30,25,3,0,0,1,0,1,52,158,46,15,13,1,0,0,0,0,1,81,19,98,17,125,14,5,942,454,108,288,335,318,3,58,57,43,0,27270,61757,19534,9451,48049,11846,5,158,283,441,288,591,435,625,616,852,331,466,0,
30,Bears,HER,Hershey,Atlantic,Eastern Conference,0,0,0,0,1065916,0,52,30,50,False,27,0,,L11,0,10,0,0,0,0,0,30,4,23,0,0,1,2,0,13,104,198,15,3,11,0,0,0,1,0,47,92,74,7,68,17,1,880,1374,366,297,310,265,14,36,39,27,2,59938,29049,19729,12342,20155,8155,0,104,193,297,159,564,307,872,237,614,214,561,0,
31,Wolves,CHI,Chicago,Central Division,Western Conference,0,0,0,0,1842084,0,288,30,50,False,14,0,,W3,6,4,0,0,0,0,0,30,19,10,0,0,0,1,0,40,131,56,15,11,4,0,0,0,0,0,71,26,101,13,115,18,5,862,446,135,278,320,260,7,49,48,33,2,28500,59381,20419,9748,45756,12241,6,131,235,366,287,633,317,591,509,773,273,454,0,
