Number,Transaction,DateTime,Empty
20052,Marlies roster errors : Too many Players available in Farm Team! 18 Dressed. Maximum is 17.
Some errors will be automatically fixed.
,2021-12-03 3:59:04 PM,
20053,Auto Roster Farm Only Function has been run for Maple Leafs.,2021-12-03 3:59:04 PM,
20054,Auto Lines Farm Function has been run for Marlies.,2021-12-03 3:59:04 PM,
20055,Game 79 - T.J. Brodie from Sharks is injured  (Torn Left Knee Ligaments) and is out for 3 weeks.,2021-12-03 3:59:07 PM,
20056,Game 80 - Adam Henrique from Predators is injured  (Strained Right Elbow) and is out for 2 weeks.,2021-12-03 3:59:08 PM,
20057,Game 80 - Scott Wedgewood from Wild is injured  (Sprained Right Knee) and is out for 2 weeks.,2021-12-03 3:59:08 PM,
20058,Game 80 - Adam Fox from Wild is injured  (Bruised Right Foot) and is out for 1 month.,2021-12-03 3:59:08 PM,
20059,Dominic Toninato from Condors has scored a Hat Trick!,2021-12-03 3:59:10 PM,
20060,Gulls lines for next game are empty. Current rosters/lines are not erased.,2021-12-03 3:59:10 PM,
20061, Americans lines for next game are empty. Current rosters/lines are not erased.,2021-12-03 3:59:10 PM,
20062,Heat lines for next game are empty. Current rosters/lines are not erased.,2021-12-03 3:59:10 PM,
20063,Monsters lines for next game are empty. Current rosters/lines are not erased.,2021-12-03 3:59:10 PM,
20064,Stars lines for next game are empty. Current rosters/lines are not erased.,2021-12-03 3:59:10 PM,
20065,Griffins lines for next game are empty. Current rosters/lines are not erased. But- Red Wings lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-03 3:59:10 PM,
20066,Reign lines for next game are empty. Current rosters/lines are not erased.,2021-12-03 3:59:10 PM,
20067,Wild lines for next game are empty. Current rosters/lines are not erased. But- Wild lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-03 3:59:10 PM,
20068,Admirals lines for next game are empty. Current rosters/lines are not erased. But- Predators lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-03 3:59:10 PM,
20069,Comets lines for next game are empty. Current rosters/lines are not erased.,2021-12-03 3:59:10 PM,
20070,Jacob Bryson of Islanders was sent to farm.,2021-12-03 3:59:10 PM,
20071,Wolf Pack lines for next game are empty. Current rosters/lines are not erased.,2021-12-03 3:59:10 PM,
20072,Phantoms lines for next game are empty. Current rosters/lines are not erased.,2021-12-03 3:59:10 PM,
20073,Roadrunners lines for next game are empty. Current rosters/lines are not erased.,2021-12-03 3:59:10 PM,
20074,Rampage  lines for next game are empty. Current rosters/lines are not erased.,2021-12-03 3:59:10 PM,
20075,Barracudas lines for next game are empty. Current rosters/lines are not erased. But- Sharks lines for next game are NOT empty. Current pro rosters/lines are moved and might impact farm rosters/lines.,2021-12-03 3:59:10 PM,
20076,Stuart Skinner of Sharks was sent to farm.,2021-12-03 3:59:10 PM,
20077,Nils Hoglander from Predators is back from Left Leg Injury.,2021-12-03 3:59:10 PM,
20078,Jan Rutta from Senators is back from Bruised Right Leg Injury.,2021-12-03 3:59:10 PM,
20079,Laurent Brossoit from Sharks is back from Exhaustion.,2021-12-03 3:59:10 PM,
20080,Avalanche are expected to be under the minimum salary cap by $1-026-528!,2021-12-03 3:59:15 PM,
20081,Wild are expected to be under the minimum salary cap by $9-504-295!,2021-12-03 3:59:16 PM,
20082,Senators are expected to be under the minimum salary cap by $4-042-052!,2021-12-03 3:59:17 PM,
20083,Capitals are expected to be under the minimum salary cap by $3-871-558!,2021-12-03 3:59:17 PM,
20084,Avalanche are expected to be under the minimum salary cap by $1-026-528!,2021-12-03 3:59:44 PM,
20085,Wild are expected to be under the minimum salary cap by $9-504-295!,2021-12-03 3:59:45 PM,
20086,Senators are expected to be under the minimum salary cap by $4-042-052!,2021-12-03 3:59:45 PM,
20087,Capitals are expected to be under the minimum salary cap by $3-871-558!,2021-12-03 3:59:46 PM,
20088,Henri Jokiharju of Golden Knights was sent down to farm.,2021-12-05 9:44:41 AM,
20089,Gustav Lindstrom of Golden Knights was sent to pro.,2021-12-05 9:44:41 AM,
20090,Successfully loaded Bruins lines done with Web Base Client and SQLite Database.,2021-12-05 9:44:41 AM,
20091,Successfully loaded Red Wings lines done with Web Base Client and SQLite Database.,2021-12-05 9:44:41 AM,
20092,Successfully loaded Panthers lines done with Web Base Client and SQLite Database.,2021-12-05 9:44:41 AM,
20093,Successfully loaded Rangers lines done with Web Base Client and SQLite Database.,2021-12-05 9:44:41 AM,
20094,Successfully loaded Golden Knights lines done with Web Base Client and SQLite Database.,2021-12-05 9:44:41 AM,
20095,Successfully loaded Flames lines done with STHS Client - 3.3.1.1,2021-12-05 9:44:46 AM,
20096,Successfully loaded Canadiens lines done with STHS Client - 3.3.0.0,2021-12-05 9:44:46 AM,
20097,Sabres roster errors : Not enough Forward available in Pro Team! 11 Dressed. 12 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.
,2021-12-05 9:44:48 AM,
20098,Tage Thompson of Sabres was sent to pro.,2021-12-05 9:44:48 AM,
20099,Auto Roster Partial Function has been run for Sabres.,2021-12-05 9:44:48 AM,
20100,Auto Lines Partial Function has been run for Sabres.,2021-12-05 9:44:48 AM,
20101,Capitals roster errors : Not enough Forward available in Pro Team! 11 Dressed. 12 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.
,2021-12-05 9:44:48 AM,
20102,Jaret Anderson-Dolan of Capitals was sent to pro.,2021-12-05 9:44:48 AM,
