Team Number,Prospect Name,Year,Overall Pick
5,Owen Power,2021,1
4,Joshua Bloom,2021,122
24,Matty Beniers,2021,2
29,Mattias Norlinder,2019,77
32,Luke Hughes,2021,3
12,Alex Turcotte,2019,4
25,Lucas Raymond,2020,4
22,Marco Rossi,2020,5
10,Cole Perfetti,2020,6
28,William Trudeau,2021,123
8,Iaroslav Askarov,2020,8
16,Jake Sanderson,2020,9
18,Alexander Holtz,2020,10
25,Seth Jarvis,2020,11
25,Vasili Podkolzin,2019,6
9,Kent Johnson,2021,4
15,Jack Quinn,2020,12
31,Anton Lundell,2020,13
14,Rodion Amirov,2020,14
31,Dawson Mercer,2020,15
17,Spencer Knight,2019,8
28,Oscar Plandowski,2021,124
15,Mason McTavish,2021,6
15,Jesper Wallstedt,2021,7
31,Adam Beckman,2019,78
2,Roby Jarventie,2020,16
8,Dylan Holloway,2020,17
15,Philip Broberg,2019,11
25,Peyton Krebs,2019,12
9,Lukas Reichel,2020,18
25,Hendrix Lapierre,2020,19
31,Connor Zary,2020,20
16,Moritz Seider,2019,13
27,Alex Newhook,2019,14
8,Dylan Guenther,2021,8
23,Mavrik Bourque,2020,22
23,Jacob Perreault,2020,23
24,Kaiden Guhle,2020,24
24,Joe Veleno,2018,15
25,Adam Ruzicka,2017,93
1,Josh Wesley,2014,103
29,Riley Tufte,2016,26
9,Simon Edvinsson,2021,9
30,Helge Grans,2020,25
26,Tyson Foerster,2020,26
9,Braden Schneider,2020,27
13,Brendan Brisson,2020,28
15,John-Jason Peterka,2020,29
9,Marat Khusnutdinov,2020,30
17,Ozzy Wiesblatt,2020,31
24,Ridly Greig,2020,32
14,William Wallinder,2020,33
31,Brandt Clarke,2021,10
24,Croix Evingson,2017,215
25,Justin Barron,2020,34
17,Tyson Hinds,2021,125
21,Lassi Thomson,2019,17
4,Victor Soderstrom,2019,18
23,Cam York,2019,19
21,Pascal Laberge,2016,30
1,Noel Gunler,2020,35
10,Shakir Mukhamadullin,2020,36
12,Sebastian Cossa,2021,11
19,Cole Sillinger,2021,12
21,Serron Noel,2018,18
3,Reilly Walsh,2017,94
13,Thomas Harley,2019,21
28,Matvey Petrov,2021,126
9,Jake Neighbours,2020,37
31,Ryan O'Rourke,2020,38
6,Chaz Lucius,2021,13
8,Thomas Bordeleau,2020,39
31,Matthew Coronato,2021,14
31,Isak Rosen,2021,15
14,Philip Tomasino,2019,22
16,Tristen Robins,2020,40
14,Aatu Raty,2021,16
6,Jonatan Berggren,2018,22
25,Samuel Poulin,2019,24
18,Sam Colangelo,2020,41
11,Fabian Lysell,2021,17
27,Tyler Boucher,2021,18
19,Jasper Weatherby,2018,120
6,Drew Commesso,2020,42
24,Cameron Morrison,2016,37
25,Emil Heineman,2020,43
31,Nick Henry,2017,95
30,Arthur Kaliyev,2019,25
11,Jan Mysak,2020,44
25,Vasiliy Ponomarev,2020,45
28,Luke Evangelista,2020,46
2,Joel Blomqvist,2020,47
15,Ryan Suzuki,2019,26
2,Yegor Korshkov,2016,40
14,Connor McMichael,2019,27
20,Jakob Pelletier,2019,28
5,Ryan Merkley,2018,26
24,Daniel Torgersson,2020,48
15,Markus Phillips,2017,96
12,Theodor Niederbach,2020,49
9,Jack Finley,2020,50
13,Brennan Othmann,2021,19
26,Jeremie Poirier,2020,51
24,Luke Tuch,2020,52
31,Tyler Parsons,2016,46
11,Isaac Ratcliffe,2017,32
10,Nolan Foote,2019,29
11,Xavier Bourgault,2021,20
31,Shane Bowers,2017,35
31,Brayden Tracey,2019,30
26,Yan Kuznetsov,2020,53
15,Lukas Elvenes,2017,97
6,Roni Hirvonen,2020,54
32,Carson Lambos,2021,21
5,Trent Miner,2019,130
27,Fedor Svechkov,2021,22
12,Cross Hanas,2020,55
5,Raphael Lavoie,2019,32
6,Corson Ceulemans,2021,23
2,Tyler Kleven,2020,56
19,William Bitten,2016,48
27,Dylan Samberg,2017,41
31,Nils Lundkvist,2018,28
28,Akil Thomas,2018,29
18,Jay O'Brien,2018,30
24,Luke Martin,2017,42
31,Aleksi Heponiemi,2017,43
11,Jean-Luc Foudy,2020,57
6,Kasper Simontaival,2020,58
32,Jett Woo,2018,32
24,John Beecher,2019,33
32,Josh Doan,2021,24
15,Egor Sokolov,2020,59
5,Ukko-Pekka Luukkonen,2017,45
15,Jacob Olofsson,2018,34
1,Jackson Blake,2021,127
11,Joni Ikonen,2017,46
12,Antti Tuomisto,2019,34
24,Liam Gilmartin,2021,128
23,Leevi Merilainen,2020,61
19,Keaton Thompson,2013,98
24,Marcus Davidsson,2017,47
3,Jared McIsaac,2018,35
12,Wyatt Johnston,2021,25
26,Jonathan Dahlen,2016,56
4,Prokhor Poltapov,2021,26
7,Artur Kayumov,2016,57
17,Gage Goncalves,2020,62
16,Eric Roy,2013,102
11,Jan Kostalek,2013,103
6,Danil Gushchin,2020,63
23,Filip Westerlund,2017,49
1,Emil Andrae,2020,64
9,Joni Jurmo,2020,65
4,Anthony Florentino,2013,105
17,Brock Faber,2020,66
24,Topi Niemela,2020,67
3,Rafael Harvey-Pinard,2019,207
30,Samuel Fagemo,2019,36
6,Eemil Viro,2020,68
12,Michael DiPietro,2017,52
9,Bode Wilde,2018,36
6,Ty Smilanic,2020,69
8,Santeri Virtanen,2017,98
13,Josh Anderson,2016,84
2,Simon Johansson,2018,121
24,Alex Laferriere,2020,70
24,Brett Leason,2019,37
15,Lukas Cormier,2020,71
30,Oskar Olausson,2021,27
28,Jacob Bernard-Docker,2018,38
31,Filip Johansson,2018,39
21,Zachary Bolduc,2021,28
21,Zachary L'Heureux,2021,29
24,Yegor Rykov,2016,172
15,Nikita Chibrikov,2021,30
26,Bobby Brink,2019,38
23,Linus Soderstrom,2014,107
2,Markus Niemelainen,2016,63
18,Mason Lohrei,2020,72
2,Grant Mismash,2017,56
8,James Greenway,2016,85
5,Nick Robertson,2019,39
15,Dmitri Samorukov,2017,99
25,Kirill Gerasimyuk,2021,129
14,Landon Slaggert,2020,73
9,Mackie Samoskevich,2021,31
21,Zach Dean,2021,32
15,Nicolas Daws,2020,74
24,Pyotr Kochetkov,2019,40
31,Tyler Tucker,2018,200
8,Ryan Johnson,2019,41
30,Francesco Pinelli,2021,33
6,Daemon Hunt,2020,75
1,Scott Perunovich,2018,43
19,Anatoli Golyshev,2016,66
13,Trevor Kuntar,2020,76
30,Daniil Tarasov,2017,58
24,Olen Zellweger,2021,34
14,Eemeli Rasanen,2017,59
28,Martin Chromiak,2020,77
26,Jack Drury,2018,44
23,Matthew Hellickson,2017,216
1,Cliff Pu,2016,68
14,Maxim Groshev,2020,78
15,Egor Afanasyev,2019,42
9,Carter Savoie,2020,79
4,Matthew Robertson,2019,43
18,Adam Ginning,2018,45
28,Zayde Wisdom,2020,80
4,Justin Sourdif,2020,81
21,Will Reilly,2017,217
9,William Lockwood,2016,70
25,Robin Salo,2017,61
6,Calle Clang,2020,82
3,Benoit-Olivier Groulx,2018,46
22,Arvid Costmar,2019,208
16,Jan Bednar,2020,83
2,Kasper Bjorkqvist,2016,72
13,Aleksi Heimosalmi,2021,35
1,Alexei Lipanov,2017,62
31,Calen Addison,2018,47
11,Dylan Peterson,2020,84
15,Fabian Zetterlund,2017,63
27,Wouter Peeters,2016,74
24,Jacob Melanson,2021,130
2,Zion Nybeck,2020,86
5,Kody Clark,2018,48
6,Logan Stankoven,2021,36
9,Dylan Garand,2020,87
18,Connor Hall,2016,75
6,Sean Farrell,2020,88
2,Matt Filipe,2016,76
9,Blake Biondi,2020,89
14,Artur Akhtyamov,2020,90
29,Jonathan Kovacevic,2017,70
23,Ruslan Iskhakov,2018,49
7,Matthew Strome,2017,71
32,Daniil Chechelev,2020,91
9,Nolan Allan,2021,37
25,Nikita Alexandrov,2019,44
8,Alban Eriksson,2018,50
28,Michael Benning,2020,92
21,Jonas Rondbjerg,2017,72
28,Jaromir Pytlik,2020,93
11,Evan Barratt,2017,100
15,Filip Hallander,2018,51
6,Vladislav Firstov,2019,45
32,Olof Lindbom,2018,52
13,William Villeneuve,2020,94
6,Tyler Tullio,2020,95
19,Hudson Elynuik,2016,87
19,Louis Belpedio,2014,111
31,Luke Prokop,2020,97
8,Jack Lafontaine,2016,88
2,Linus Lindstrom,2016,82
