Team Number,Prospect Name,Year,Overall Pick
19,Rasmus Bengtsson,2011,56
24,Brett Leason,2019,37
25,Alexandre Texier,2017,53
24,Ian Mitchell,2017,54
25,Jacob Bernard-Docker,2018,38
31,Filip Johansson,2018,39
6,Mattias Samuelsson,2018,40
3,Philip Nyberg,2016,171
6,Yegor Rykov,2016,172
15,Alex Formenton,2017,55
25,Bobby Brink,2019,38
23,Linus Soderstrom,2014,107
2,Markus Niemelainen,2016,63
8,Evgeny Svechnikov,2015,14
2,Grant Mismash,2017,56
8,James Greenway,2016,85
5,Nick Robertson,2019,39
15,Dmitri Samorukov,2017,99
7,Jake Leschyshyn,2017,57
25,Chad Krys,2016,65
21,Daniel Audette,2014,108
6,Jesse Ylonen,2018,41
4,Ilya Samsonov,2015,16
24,Pyotr Kochetkov,2019,40
31,Tyler Tucker,2018,200
8,Ryan Johnson,2019,41
15,Alexander Romanov,2018,42
14,Daniel Catenacci,2011,68
1,Scott Perunovich,2018,43
19,Anatoli Golyshev,2016,66
19,Ludwig Bystrom,2012,36
9,Daniil Tarasov,2017,58
21,Cam Dineen,2016,67
14,Eemeli Rasanen,2017,59
25,Denis Guryanov,2015,17
7,Jack Drury,2018,44
23,Matthew Hellickson,2017,216
1,Cliff Pu,2016,68
1,Luke Green,2016,69
26,Mario Ferraro,2017,60
6,Egor Afanasyev,2019,42
19,Michael Paliotta,2011,73
4,Matthew Robertson,2019,43
18,Adam Ginning,2018,45
8,Carson Soucy,2013,164
5,Nick Merkley,2015,18
1,Mason McDonald,2014,35
4,Will Reilly,2017,217
9,William Lockwood,2016,70
6,Robin Salo,2017,61
12,Givani Smith,2016,71
10,Benoit-Olivier Groulx,2018,46
22,Arvid Costmar,2019,208
11,Jack Dougherty,2014,38
2,Kasper Bjorkqvist,2016,72
6,Dmitry Sokolov,2016,86
1,Alexei Lipanov,2017,62
31,Calen Addison,2018,47
28,Sean Day,2016,73
13,Fabian Zetterlund,2017,63
27,Wouter Peeters,2016,74
31,Josh Brook,2017,64
18,Antoine Morand,2017,65
31,Morgan Geekie,2017,66
5,Kody Clark,2018,48
28,Jack Studnicka,2017,67
7,Ville Pokka,2012,42
18,Connor Hall,2016,75
21,Brandon Gormley,2010,16
2,Matt Filipe,2016,76
15,Sebastian Aho,2017,68
25,Cale Fleury,2017,69
29,Jonathan Kovacevic,2017,70
6,Ruslan Iskhakov,2018,49
7,Matthew Strome,2017,71
29,Frederic Allard,2016,77
25,Jakub Zboril,2015,20
25,Nikita Alexandrov,2019,44
8,Alban Eriksson,2018,50
23,Scott Kosmachuk,2012,44
21,Jonas Rondbjerg,2017,72
22,Trey Fix-Wolansky,2018,189
11,Evan Barratt,2017,100
15,Filip Hallander,2018,51
6,Vladislav Firstov,2019,45
6,Olof Lindbom,2018,52
8,Andreas Englund,2014,42
18,Nathan Noel,2016,80
19,Hudson Elynuik,2016,87
19,Louis Belpedio,2014,111
11,Noah Gregor,2016,81
8,Jack Lafontaine,2016,88
2,Linus Lindstrom,2016,82
15,Adam Brooks,2016,83
17,Brandon Gignac,2016,89
24,Nikita Popugaev,2017,73
18,Mads Sogaard,2019,46
18,Tom Nilsson,2011,92
12,Keith Petruzzelli,2017,74
6,Andrei Altybarmakyan,2017,75
30,Jacob Moverare,2016,90
21,Jack Kopacka,2016,91
20,Max Gildon,2017,76
6,Jonny Tychonick,2018,53
6,Jake Wise,2018,54
30,Jamieson Rees,2019,47
28,Vladislav Kolyachonok,2019,48
22,Mason Shaw,2017,77
18,Kirill Marchenko,2018,55
17,Julius Bergman,2014,43
6,Stelio Mattheos,2017,78
20,Anthony Camara,2011,98
2,Carsen Twarynski,2016,93
11,Jordan Sambrook,2016,94
3,Matthew Cairns,2016,95
10,Olivier Archambault,2011,100
5,David Gustafsson,2018,56
26,Eric Cornel,2014,44
21,Scott Walford,2017,79
1,Ryan MacInnis,2014,45
5,Kevin Bahl,2018,57
10,Jonathan Racine,2011,103
29,Jonathan Ang,2016,96
10,Gabriel Fortier,2018,58
16,Matthew Phillips,2016,97
28,Jack McBain,2018,59
29,Linus Nassen,2016,98
23,Dominik Masin,2014,46
19,Ivan Morozov,2018,60
29,Drew Helleson,2019,49
22,Radim Salda,2018,190
23,Sean Durzi,2018,61
9,Nicolas Aube-Kubel,2014,47
1,Eetu Tuulola,2016,99
6,Robert Mastrosimone,2019,50
4,Josiah Didier,2011,107
8,Pavel Dorofeyev,2019,51
26,David Farrance,2017,80
2,Niklas Nordgren,2018,62
1,Lane Zablocki,2017,81
28,Alex Vlasic,2019,52
13,Ivan Lodnia,2017,82
8,MacKenzie Entwistle,2017,83
26,Connor Hurley,2013,43
12,Kasper Kotkansalo,2017,84
4,Nikolay Prokhorkin,2012,78
29,Jakub Lauko,2018,63
2,Connor Ingram,2016,101
15,Ostap Safin,2017,85
21,Cole Candella,2016,102
31,Axel Andersson,2018,64
7,Colton Point,2016,103
19,Martin Fehervary,2018,65
4,Jonas Johansson,2014,49
9,Tyler Madden,2018,66
13,Casey Fitzgerald,2016,104
27,Otto Koivula,2016,105
6,Kaedan Korczak,2019,53
26,Stuart Skinner,2017,87
15,Connor Bunnaman,2016,109
12,Scott Reedy,2017,88
24,Dakota Joshua,2014,154
22,Ross Colton,2016,106
7,Samuel Kurker,2012,62
18,Nikita Okhotyuk,2019,79
2,Brett Pollock,2014,50
2,Fredrik Karlstrom,2016,107
18,Jan Jenik,2018,67
16,Cameron Crotty,2017,101
4,Nick Sorensen,2013,47
14,Jackson LaCombe,2019,54
19,Matthew Stienburg,2019,55
7,Otto Somppi,2016,108
6,Alexander Khovanov,2018,68
6,Patrik Puistola,2019,56
31,Zachary Gallant,2017,89
15,Albin Grewe,2019,57
26,Eric Comrie,2013,48
19,Zach Nastasiuk,2013,49
26,Tarmo Reunanen,2016,110
13,Vladimir Ruzicka,0,0
7,Dillon Hamaliuk,2019,58
26,Blake McLaughlin,2018,69
8,Marco Roy,2013,50
5,Artemi Kniazev,2019,59
31,Cam Hillis,2018,70
26,Maksim Zhukov,2017,90
28,Olivier Rodrigue,2018,71
19,Paul Bittner,2015,27
9,Seth Barton,2018,72
9,Sampo Ranta,2018,73
8,Nate Schnarr,2017,91
10,Matia Marcantuoni,2012,73
24,Alexander Campbell,2019,80
14,Mikhail Maltsev,2016,112
11,Bulat Shafigullin,2018,74
6,Alec Regula,2018,75
30,Drake Rymsha,2017,92
6,Mikhail Berdin,2016,113
22,Liam Kirk,2018,76
10,Hunter Jones,2019,60
9,Kale Howarth,2017,103
29,Garrett Pilon,2016,114
20,Vaclav Karabacek,2014,56
6,Jakub Skarek,2018,77
24,Tyler Inamoto,2017,104
26,Jack Glover,2014,57
20,Aapeli Rasanen,2016,115
29,Tyler Steenbergen,2017,105
11,Allan McShane,2018,78
5,Vladimir Bobylev,2016,116
11,Jordan Stallard,2016,117
14,Joonas Lehtivuori,0,0
3,Alexei Toropchenko,2017,106
26,Mitchell Mattson,2016,118
31,Samuel Bolduc,2019,61
17,Nathan Legare,2019,62
19,Alexandre Mallet,2012,77
26,Filip Berglund,2016,120
29,Maxim Shalunov,2011,122
9,Parker Foo,2017,107
4,Ivan Chekhovich,2017,108
22,Emil Bemstrom,2017,109
20,Bradley Ross,2010,33
21,David Quenneville,2016,121
17,Noel Hoefenmayer,2017,110
28,Ilya Nikolaev,2019,63
18,Igor Shvyrev,2017,112
20,Dillon Heatherington,2013,58
