Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
14,Monarchs,MAN,Manchester,Pacific Division,Western Conference,0,0,0,0,412750,0,69,8,54,False,2,0,Y,W3,7,1,0,0,0,0,0,8,7,1,0,0,0,0,0,14,75,39,4,4,0,0,0,0,0,0,42,18,43,28,39,13,1,321,296,90,103,123,95,0,24,36,15,0,10372,10132,8296,4638,6314,3679,0,75,123,198,106,126,123,203,88,174,101,189,0,
15,Aeros,HOU,Houston,Northwest Division,Western Conference,0,0,0,0,332500,0,48,8,54,False,4,0,Y,W3,7,1,0,0,0,0,0,8,7,1,0,0,0,0,0,14,77,47,4,3,1,0,0,0,0,0,36,26,46,26,29,13,2,326,263,96,98,109,119,0,20,36,21,0,9562,10888,8350,4160,6390,4262,0,77,130,207,101,164,72,162,80,188,86,203,0,
16,Bulldogs,HAM,Hamilton,Northeast Division,Eastern Conference,0,0,0,0,0,0,114,8,47,False,28,0,X,L5,1,7,0,0,0,0,0,8,1,7,0,0,0,0,0,2,37,72,4,1,3,0,0,0,0,0,24,36,33,10,39,21,1,189,276,103,67,58,64,0,14,13,10,0,10548,9648,8604,4820,5389,3956,0,37,69,106,101,152,54,149,49,133,77,222,0,
17,Admirals,MIL,Milwaukee,Central Division,Western Conference,0,0,0,0,0,0,96,8,49,False,18,0,X,OTL1,3,4,0,0,1,0,0,8,3,4,0,0,1,0,0,7,53,60,4,2,2,0,0,0,0,0,29,38,30,16,33,14,5,172,245,82,35,71,66,0,8,25,20,0,10952,9434,8464,4570,5187,4036,0,53,97,150,81,111,59,127,49,106,92,214,0,
18,Devils,ALB,Albany,Orr Division,Eastern Conference,0,0,0,0,265000,0,76,8,48,False,23,0,X,L4,2,6,0,0,0,0,0,8,2,6,0,0,0,0,0,4,53,66,4,1,3,0,0,0,0,0,26,30,29,13,27,10,3,201,231,77,51,57,93,0,10,21,22,0,11002,9467,8331,4659,5438,3789,0,53,99,152,115,105,40,107,47,112,85,221,0,
19,Sound Tigers,BPT,Bridgeport,Orr Division,Eastern Conference,0,0,0,0,1365250,0,61,8,53,False,6,0,X,W1,5,2,0,1,0,0,0,8,5,2,0,1,0,0,0,12,52,30,4,2,1,0,1,0,0,0,24,15,30,11,26,7,1,247,183,72,69,85,92,1,9,23,19,1,9293,11365,8156,4235,6807,4260,0,52,93,145,112,150,74,123,57,107,105,183,0,
20,Whale,CON,Connecticut,Orr Division,Eastern Conference,0,0,0,0,0,0,115,8,48,False,21,0,X,L1,2,5,0,0,1,0,0,8,2,5,0,0,1,0,0,5,64,74,4,1,3,0,0,0,0,0,33,34,34,15,33,17,7,182,283,102,43,69,70,0,11,28,25,0,11140,9226,8448,4758,5278,3751,0,64,119,183,86,135,67,138,42,101,105,243,0,
21,Senators,BNG,Binghamton,Northeast Division,Eastern Conference,0,0,0,0,263750,0,17,8,51,False,12,0,X,W2,5,3,0,0,0,0,0,8,5,3,0,0,0,0,0,10,49,39,4,3,1,0,0,0,0,0,29,13,37,15,37,12,1,244,242,82,76,81,87,0,5,27,17,0,10621,9773,8406,4936,5599,3818,0,49,82,131,133,112,63,175,68,159,92,191,0,
22,Phantoms,ADP,Adirondack,Orr Division,Eastern Conference,0,0,0,0,497825,0,60,8,52,False,13,0,Y,W4,6,2,0,0,0,0,0,8,6,2,0,0,0,0,0,12,69,63,4,4,0,0,0,0,0,0,39,29,34,15,29,15,0,263,179,61,60,101,102,0,12,27,30,0,10062,10139,8599,4370,5556,4408,0,69,118,187,68,124,49,77,58,124,136,224,0,
23,Pirates,POR,Portland,Pacific Division,Western Conference,0,0,0,0,528167,0,39,8,46,False,30,0,,L8,0,8,0,0,0,0,0,8,0,8,0,0,0,0,0,0,45,94,4,0,4,0,0,0,0,0,23,49,30,12,50,28,1,281,329,119,75,102,104,0,10,20,15,0,11147,8943,8710,5018,5220,3395,0,45,86,131,203,140,59,162,44,164,60,219,0,
24,Penguins,WBS,Wilkes-Barre Scranton,Orr Division,Eastern Conference,0,0,0,0,697500,0,75,8,51,False,17,0,X,L1,4,4,0,0,0,0,0,8,4,4,0,0,0,0,0,8,59,64,4,2,2,0,0,0,0,0,32,35,26,12,38,17,5,223,240,74,62,77,84,0,11,26,22,0,9555,10855,8390,3983,5968,4693,0,59,102,161,156,175,72,132,71,133,113,217,0,
25,Rivermen,PEO,Peoria,Central Division,Western Conference,0,0,0,0,547500,0,5,8,53,False,8,0,X,OTW1,4,2,0,2,0,0,0,8,4,2,0,2,0,0,0,12,73,53,4,2,1,0,1,0,0,0,35,28,36,18,35,15,0,317,269,81,95,100,119,3,17,30,24,2,9629,11288,8018,3983,6738,4397,0,73,124,197,173,129,84,149,101,155,151,215,0,
26,Sharks,WOR,Worcester,Pacific Division,Western Conference,0,0,0,0,1061250,0,59,8,50,False,16,0,X,L1,3,4,0,1,0,0,0,8,3,4,0,1,0,0,0,8,48,48,4,1,2,0,1,0,0,0,24,24,40,14,24,9,2,248,276,92,57,81,106,4,10,24,13,1,9931,10151,8931,4410,5460,4583,0,48,80,128,87,178,84,156,74,161,83,177,1,
27,Admirals,NOR,Norfolk,Southeast Division,Eastern Conference,0,0,0,0,1503000,0,16,8,55,False,3,0,Y,L1,5,2,0,1,0,0,0,8,5,2,0,1,0,0,0,12,68,32,4,2,2,0,0,0,0,0,30,19,36,15,36,13,0,315,255,79,103,110,101,1,18,29,20,1,8363,11921,8578,3640,6683,5127,0,68,113,181,166,224,130,189,110,164,124,184,0,
28,Marlies,TOR,Toronto,Northeast Division,Eastern Conference,0,0,0,0,507500,0,99,8,50,False,11,0,X,W1,4,4,0,0,0,0,0,8,4,4,0,0,0,0,0,8,50,36,4,2,2,0,0,0,0,0,24,17,27,7,34,11,2,267,207,62,53,112,102,0,7,26,17,0,10708,9520,8572,4890,5268,4036,0,50,86,136,83,131,94,151,85,141,113,192,0,
29,Wolves,CHI,Chicago,Northwest Division,Western Conference,0,0,0,0,185000,0,103,8,49,False,15,0,X,L1,3,5,0,0,0,0,0,8,3,5,0,0,0,0,0,6,65,60,4,1,3,0,0,0,0,0,30,27,37,21,34,22,2,294,282,97,70,100,124,0,10,24,31,0,10661,9872,8267,4453,5630,4014,0,65,120,185,122,125,63,150,75,160,97,216,0,
30,Bears,HER,Hershey,Southeast Division,Eastern Conference,0,0,0,0,810500,0,8,8,52,False,14,0,X,W2,4,3,0,0,0,1,0,8,4,3,0,0,0,1,0,10,67,61,4,1,3,0,0,0,0,0,30,40,43,23,35,15,2,340,274,88,110,127,99,8,27,26,13,3,8665,11366,9069,3760,6002,5552,0,67,102,169,170,203,98,154,115,202,141,214,0,
