Number,Transaction
20001,[26-Jan-14 6:33:23 PM] - Islanders lines for next game are empty. Current rosters/lines are not erased.
20002,[26-Jan-14 6:33:23 PM] - Whale lines for next game are empty. Current rosters/lines are not erased.
20003,[26-Jan-14 6:33:23 PM] - Pirates lines for next game are empty. Current rosters/lines are not erased.
20004,[26-Jan-14 6:33:23 PM] - Lightning lines for next game are empty. Current rosters/lines are not erased.
20005,[26-Jan-14 6:33:23 PM] - Marlies lines for next game are empty. Current rosters/lines are not erased.
20006,[26-Jan-14 6:33:23 PM] - Canucks lines for next game are empty. Current rosters/lines are not erased.
20007,<font color="Red">[26-Jan-14 6:33:23 PM] - Simon Gagne from Rangers is back from Sprained Left Ankle Injury.</font>
20008,<font color="Red">[26-Jan-14 6:33:23 PM] - Josh Bailey from Sharks is back from Lower Body Injury.</font>
20009,<font color="Red">[26-Jan-14 6:33:23 PM] - Josh Harding from Blackhawks is back from Sprained Right Finger Injury.</font>
20010,[26-Jan-14 6:33:24 PM] - Blue Jackets are expected to be under the minimum salary cap by $3-215-000!
20011,[26-Jan-14 6:33:58 PM] - Current fund for Jets is under $0.
20012,[26-Jan-14 6:33:59 PM] - Blue Jackets are expected to be under the minimum salary cap by $3-215-000!
20013,[26-Jan-14 6:34:00 PM] - Current fund for Canucks is under $0.
20014,[26-Jan-14 6:34:18 PM] - Blue Jackets are expected to be under the minimum salary cap by $3-215-000!
20015,[26-Jan-14 6:34:20 PM] - Blue Jackets are expected to be under the minimum salary cap by $3-215-000!
20016,[26-Jan-14 6:34:20 PM] - Blue Jackets roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Not enough Players available in Pro Team! 16 Dressed. 18 Required.
Too many Goalie available in Pro Team! 3 Dressed. Maximum is 3.
Some errors will be automatically fixed.

20017,[26-Jan-14 6:34:20 PM] - Blue Jackets are expected to be under the minimum salary cap by $3-215-000!
20018,[26-Jan-14 6:34:25 PM] - Blue Jackets are expected to be under the minimum salary cap by $3-215-000!
20019,[26-Jan-14 6:34:54 PM] - Blue Jackets are expected to be under the minimum salary cap by $3-215-000!
20020,[26-Jan-14 6:34:54 PM] - Current fund for Jets is under $0.
20021,[26-Jan-14 6:34:55 PM] - Blue Jackets are expected to be under the minimum salary cap by $3-215-000!
20022,[26-Jan-14 6:34:56 PM] - Current fund for Canucks is under $0.
20023,<font color="Black">[28-Jan-14 9:41:15 AM] - Successfully loaded Blackhawks lines done with STHS Client - 2.2.3.3</font>
20024,<font color="Black">[28-Jan-14 9:41:19 AM] - Successfully loaded Avalanche lines done with STHS Client - 2.2.3.3</font>
20025,<font color="Black">[28-Jan-14 9:41:20 AM] - Danny DeKeyser of Blue Jackets was sent to pro.</font>
20026,[28-Jan-14 9:41:20 AM] - Joe Cannata of Blue Jackets was sent to farm.
20027,[28-Jan-14 9:41:20 AM] - Blue Jackets are expected to be under the minimum salary cap by $115-000!
